Organization,Case Mgmt.,Housing,ESL,Income/Jobs,Starting Biz,Ed/children,Ed/Adult,Social connection,Civic Engagement,Nutrition & Health,Navigating Day-to-Day Logistics,Partners/Collaborators,Affiliation ,Website link,Revenue,Expenses,Year,Costs,Annual Reports,Year
Afrika Yetu,No,Housing Assitance,Yes,No,,,Adult Cultural Education,Drum Circles,,,,, Pan African ,https://www.afrikayetu.org/,,,,,,
,,,,,,,Job Search and Career Advising,Dance and Music Workshops,,,,,,,,,,,,
,,,,,,,Immigration Services,Ensemble Performance,,,,,,,,,,,,
,,,,,,,Financial Literacy Workshops,,,,,,,,,,,,,
,,,,,,,Business Development,,,,,,,,,,,,,
Sankofa Village,No,,No,No,,,,African Drumming,,,,,African,https://www.sankofavillage.org/about,"$154,524","$102,910",2023,,,
,,,,,,,,Martial Arts,,,,,,,,,,,,
,,,,,,,,African Dance,,,,,,,,,,,,
Haiti Friends,No,,No,No,,,Art Education,,,,,,Haitian,https://www.haitifriends.org/,"$308,409","$323,837",2024,,,
,,,,,,,Sustainability Outreach,,,,,,,,,,,,,
PUMP,No,,No,No,,,,Pittsburgh Sports League,Advocacy and Public Policy,,,,Everyone,https://www.pump.org/,"$966,470","$951,344",2023,,,
PA Women Work,No,,No,No,,,Career Development Workshop,,,,,,Women,https://www.pawomenwork.org/,"$1,827,846","$1,785,062",2024,,,
,,,,,,,Job Search Assistance,,,,,,,,,,,,,
,,,,,,,Professional Mentorship,,,,,,,,,,,,,
,,,,,,,New American Support,,,,,,,,,,,,,
,,,,,,,Re-entry after incarceration,,,,,,,,,,,,,
Organization of Chinese Americans (OCA),No,,No,No,,OCA Youth Program,,OCA Performance Ensemble,,Medical and Dental Clinic,,,Chinese Americans,https://ocapghpa.org/,"$19,090","$13,353",2013,,,
Upstreet Pittsburgh,No,,No,No,,Youth Mentoring,,,,Youth Mental Health Counseling ,,https://upstreetpgh.org/about/,Everyone (Youth),https://upstreetpgh.org/about/,,,,,,
,,,,,,Youth Advisory Board,,,,,,,,,,,,,,
Church of the Ascension,No,,Host English Classes,No,,,Refugee Assistance ,Community Groups,,,,,Anglican,https://ascensionpittsburgh.org/connect/internationals/,"$24,620","$90,313",2015,,,
Saint Vincent DePaul,No,Housing Assistance,No,No,,,,,,Medical Care Assistance,Clothing Assistance,,Everyone,https://svdppitt.org/,$8.24 million,$8.21 million,2023,,,
,,,,,,,,,,,Furniture,,,,,,,,,
,,,,,,,,,,,Utility Assitance,,,,,,,,,
